title,link,company_name,snippet,salary
Process Automation Engineer,https://uk.indeed.com/viewjob?jk=8415bcb4b4c72f36,Qualasept,SmartControl Environmental monitoring software that seamlessly captures images of every sample to ensure data integrity with zero capital expenditure.,"£30,000 - £40,000 a year"
AWS Cloud Engineer - BRISTOL,https://uk.indeed.com/viewjob?jk=58baef675541d5ce,Pertemps Network Group,"Day-to-day you will help design and deliver transformative cloud solutions, from migrating legacy applications onto AWS to building new cloud-native…","£45,000 - £75,000 a year"
Software Engineering Specialist,https://uk.indeed.com/viewjob?jk=693d0d4ac4b16119,BT,"Specialist in BigData, Streaming and Cloud technologies and with Programming skills on python and Java.Leads a team composed of technical practitioners to plan…",None Given
Software Architect for Digitalization,https://uk.indeed.com/viewjob?jk=d39d3deaf393d957,Airbus,"If successful, you will be subject to a BPSS check including a criminal record check.Designing modern software architecture following standard frameworks …",None Given
Software Tools Developer ( Python),https://uk.indeed.com/viewjob?jk=f6249748e17dd0bc,Dyson,"Reporting to the Software Tools & Process Manager, this key role will help us define and develop software solutions for our development tools and services…",None Given
Principle Software Developer,https://uk.indeed.com/viewjob?jk=1aa6f6bb447f7405,MASS,25 days’ annual leave plus bank holidays.Engineering software solutions - developing fully functioning primarily Windows based applications based on frameworks…,"£48,000 - £58,000 a year"
Software Developer,https://uk.indeed.com/viewjob?jk=71fa78a1604f4d97,ADLIB,"Full remote working, advocates for flexibility.Proven software development skills using C/C++.Any Rust/Python skills would be useful too.","£45,000 - £60,000 a year"
Quality Assurance & Automation Engineer,https://uk.indeed.com/viewjob?jk=efa4b2876708ee9d,Hewlett Packard Enterprise,"Able to understand customer usage models to then design and implement end to end automated testing in Python, writing test scripts from scratch and…",None Given
Senior Software Engineer,https://uk.indeed.com/viewjob?jk=576035e3287a5dac,Riskaware,"Riskaware is currently looking to recruit high achieving science, mathematics or engineering graduates or post graduates with at least 2 years’ experience…",None Given
Application and Integrations Developer,https://uk.indeed.com/viewjob?jk=7a184c7d924d2846,Truespeed,"Design and implement integrations with software platforms, programs, and applications to support the businesses rapid growth.Extensive Java and JVM experience.",None Given
Software Development Engineer,https://uk.indeed.com/viewjob?jk=405940940e8f10c8,IMDb Services Limited (UK),"Computer Science Honours degree (2:1 or better) or postgraduate study.In lieu of degree, relevant skills and equivalent experience.",None Given
Full-Stack Web Developer,https://uk.indeed.com/viewjob?jk=79eba529b358dd99,ADLIB,"Their technology is used in a variety of fields including VR/AR, spacial computing, immersive 3D experience, automotive, entertainment, medical/healthcare and…","£40,000 - £70,000 a year"
"Consultant/ Senior Consultant - Low Code Developer, Systems...",https://uk.indeed.com/viewjob?jk=d51b5f3c63b086cf,Deloitte,"It's part of the Business Operations portfolio of the Consulting Service Line within Deloitte UK.Whether you're working with on-premise systems, Cloud…",None Given
Software Engineer,https://uk.indeed.com/viewjob?jk=99e2f6b13b1b4ce5,Hunter Selection,The client is a large multi-national R&D consultancy and is currently looking to recruit multiple Software Engineers to support ongoing expansion for multiple…,"£30,000 - £55,000 a year"
Graduate Developer,https://uk.indeed.com/viewjob?jk=cf0147f9ae99f331,Visionist Consulting,"We understand that you are graduates, and will not have unfair expectations of your experience.The successful candidate will need to hit the ground running,…",None Given
Junior Python Developer,https://uk.indeed.com/viewjob?jk=27241efb7214f524,Sigma Recruitment Ltd,"In return, the junior python developer will receive a salary of £22,000-£25,000 (dependent on experience) + pension, healthcare, 25 days holiday plus bank…","£22,000 - £25,000 a year"
Senior Cloud Operations Engineer - Remote,https://uk.indeed.com/viewjob?jk=6def818ea1a27453,Immersive Labs,"Our platform gives you the ability to measure real-time cyber efficacy as it relates to cyber teams, developers, engineers and executives.",None Given
Wind turbine software engineer,https://uk.indeed.com/viewjob?jk=eb452238f7d825ef,DNV,"They will have an engineering / physics or similar background, and be skilled in software development.Improvements to structural dynamics models for the wind…",None Given
"Software Engineer (C++/Python), AI/Machine Learning - Bristo...",https://uk.indeed.com/viewjob?jk=943f8c3043b986ee,Linux Recruit,This position is for a software engineer who wants to build state of the art AI technology solutions using the latest tools.,"£45,000 - £70,000 a year"
Software Engineer,https://uk.indeed.com/viewjob?jk=705f1dbab0f32aea,Sanderson Recruitment Plc,"The right candidate MUST BE ELIGIBLE TO RECEIVE SC CLEARANCE, being a UK citizen who’s continuously lived in the UK for the last 5 years minimum.","£30,000 - £45,000 a year"
Web Developer,https://uk.indeed.com/viewjob?jk=4b9fcfcf4942a359,SimplyBiz,"Targeting the insurance industry, our products aim to innovate the comparison industry using Python with the Django framework.",None Given
Machine Learning Algorithm Developer,https://uk.indeed.com/viewjob?jk=a20e69a97d97e5bb,MBDA,"The team develops and evaluates algorithms spanning a range of domains from on-board, autonomous decision making, to off-board C2 algorithms.",None Given
